id	file	GenomeID	Binomial	AccNum	TaxID	PMID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subrank1	Subrank2
Enterobacter_lignolyticus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/805/GCF_001461805.1_ASM146180v1/GCF_001461805.1_ASM146180v1_genomic.fna.gz	ASM146180v1	[Enterobacter] lignolyticus	GCF_001461805.1	1334193	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter	NA	NA	NA
Atlantibacter_hermannii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/068/345/GCF_011068345.1_ASM1106834v1/GCF_011068345.1_ASM1106834v1_genomic.fna.gz	ASM1106834v1	Atlantibacter hermannii	GCF_011068345.1	565	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	NA	NA	NA
Atlantibacter_subterranea	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/224/615/GCF_024224615.1_ASM2422461v1/GCF_024224615.1_ASM2422461v1_genomic.fna.gz	ASM2422461v1	Atlantibacter subterranea	GCF_024224615.1	255519	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	NA	NA	NA
Blochmannia_endosymbiont_of_Camponotus_Colobopsis_obliquus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/545/GCF_000973545.1_ASM97354v1/GCF_000973545.1_ASM97354v1_genomic.fna.gz	ASM97354v1	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	GCF_000973545.1	1505597	25861561	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
Blochmannia_endosymbiont_of_Camponotus_modoc	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/585/785/GCF_023585785.1_ASM2358578v1/GCF_023585785.1_ASM2358578v1_genomic.fna.gz	ASM2358578v1	Blochmannia endosymbiont of Camponotus modoc	GCF_023585785.1	2945587	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
Blochmannia_endosymbiont_of_Camponotus_nipponensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/827/135/GCF_009827135.1_ASM982713v1/GCF_009827135.1_ASM982713v1_genomic.fna.gz	ASM982713v1	Blochmannia endosymbiont of Camponotus nipponensis	GCF_009827135.1	2681986	32675189	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
Blochmannia_endosymbiont_of_Colobopsis_nipponica	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/857/065/GCF_014857065.1_ASM1485706v1/GCF_014857065.1_ASM1485706v1_genomic.fna.gz	ASM1485706v1	Blochmannia endosymbiont of Colobopsis nipponica	GCF_014857065.1	2681987	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
Blochmannia_endosymbiont_of_Polyrhachis_Hedomyrma_turneri	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/505/GCF_000973505.1_ASM97350v1/GCF_000973505.1_ASM97350v1_genomic.fna.gz	ASM97350v1	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	GCF_000973505.1	1505596	25861561	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
Buttiauxella_agrestis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/234/275/GCF_013234275.1_ASM1323427v1/GCF_013234275.1_ASM1323427v1_genomic.fna.gz	ASM1323427v1	Buttiauxella agrestis	GCF_013234275.1	82977	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA	NA	NA
Buttiauxella_ferragutiae	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/637/515/GCF_022637515.1_ASM2263751v1/GCF_022637515.1_ASM2263751v1_genomic.fna.gz	ASM2263751v1	Buttiauxella ferragutiae	GCF_022637515.1	82989	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	NA	NA	NA
Candidatus_Annandia_pinicola	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/541/245/GCF_020541245.1_ASM2054124v1/GCF_020541245.1_ASM2054124v1_genomic.fna.gz	ASM2054124v1	Candidatus Annandia pinicola	GCF_020541245.1	1345117	34508228	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Annandia	NA	NA	NA
Candidatus_Blochmannia_chromaiodes_str._640	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/065/GCF_000331065.1_ASM33106v1/GCF_000331065.1_ASM33106v1_genomic.fna.gz	ASM33106v1	Candidatus Blochmannia chromaiodes str. 640	GCF_000331065.1	1240471	23475937	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Candidatus Blochmannia chromaiodes	NA	NA
Candidatus_Blochmannia_herculeanus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/585/725/GCF_023585725.1_ASM2358572v1/GCF_023585725.1_ASM2358572v1_genomic.fna.gz	ASM2358572v1	Candidatus Blochmannia herculeanus	GCF_023585725.1	108080	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
Candidatus_Blochmannia_ocreatus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/585/745/GCF_023585745.1_ASM2358574v1/GCF_023585745.1_ASM2358574v1_genomic.fna.gz	ASM2358574v1	Candidatus Blochmannia ocreatus	GCF_023585745.1	251538	NA	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	NA	NA	NA
