id	file	GenomeID	Binomial	AccNum	TaxID	PMID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subrank1	Subrank2
Haladaptatus_halobius	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/618/475/GCF_020618475.1_ASM2061847v1/GCF_020618475.1_ASM2061847v1_genomic.fna.gz	ASM2061847v1	Haladaptatus halobius	GCF_020618475.1	2884875	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	NA	NA	NA
Haladaptatus_pallidirubidus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/700/235/GCF_020700235.1_ASM2070023v1/GCF_020700235.1_ASM2070023v1_genomic.fna.gz	ASM2070023v1	Haladaptatus pallidirubidus	GCF_020700235.1	1008152	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	NA	NA	NA
Haladaptatus_salinisoli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/614/375/GCF_020614375.1_ASM2061437v1/GCF_020614375.1_ASM2061437v1_genomic.fna.gz	ASM2061437v1	Haladaptatus salinisoli	GCF_020614375.1	2884876	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	NA	NA	NA
Halalkaliarchaeum_desulfuricum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/775/GCF_002952775.1_ASM295277v1/GCF_002952775.1_ASM295277v1_genomic.fna.gz	ASM295277v1	Halalkaliarchaeum desulfuricum	GCF_002952775.1	2055893	31166158	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halalkaliarchaeum	NA	NA	NA
Halalkalicoccus_jeotgali_B3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/895/GCF_000196895.1_ASM19689v1/GCF_000196895.1_ASM19689v1_genomic.fna.gz	ASM19689v1	Halalkalicoccus jeotgali B3	GCF_000196895.1	795797	20601480	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	Halalkalicoccus jeotgali	NA	NA
Halanaeroarchaeum_sulfurireducens	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/655/GCF_001305655.1_ASM130565v1/GCF_001305655.1_ASM130565v1_genomic.fna.gz	ASM130565v1	Halanaeroarchaeum sulfurireducens	GCF_001305655.1	1604004	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	NA	NA	NA
Halapricum_desulfuricans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/094/445/GCF_017094445.1_ASM1709444v1/GCF_017094445.1_ASM1709444v1_genomic.fna.gz	ASM1709444v1	Halapricum desulfuricans	GCF_017094445.1	2841257	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halapricum	NA	NA	NA
Haloarcula_marismortui_ATCC_43049	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/085/GCF_000011085.1_ASM1108v1/GCF_000011085.1_ASM1108v1_genomic.fna.gz	ASM1108v1	Haloarcula marismortui ATCC 43049	GCF_000011085.1	272569	15520287	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui	NA	NA
Haloarcula_sinaiiensis_ATCC_33800	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/200/015/GCF_018200015.1_ASM1820001v1/GCF_018200015.1_ASM1820001v1_genomic.fna.gz	ASM1820001v1	Haloarcula sinaiiensis ATCC 33800	GCF_018200015.1	662476	34435862	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula sinaiiensis	NA	NA
Haloarcula_taiwanensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/335/GCF_002844335.1_ASM284433v1/GCF_002844335.1_ASM284433v1_genomic.fna.gz	ASM284433v1	Haloarcula taiwanensis	GCF_002844335.1	1932004	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	NA	NA	NA
