id	file	GenomeID	Binomial	AccNum	TaxID	PMID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subrank1	Subrank2
Halobacterium_salinarum_91-R6	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/605/GCF_004799605.1_ASM479960v1/GCF_004799605.1_ASM479960v1_genomic.fna.gz	ASM479960v1	Halobacterium salinarum	GCF_004799605.1	2242	3179757631296677	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_DSM-669	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/202/515/GCF_014202515.1_ASM1420251v1/GCF_014202515.1_ASM1420251v1_genomic.fna.gz	ASM1420251v1	Halobacterium salinarum	GCF_014202515.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_AS2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/503/975/GCF_021503975.1_ASM2150397v1/GCF_021503975.1_ASM2150397v1_genomic.fna.gz	ASM2150397v1	Halobacterium salinarum	GCF_021503975.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_CBA1132	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/503/995/GCF_021503995.1_ASM2150399v1/GCF_021503995.1_ASM2150399v1_genomic.fna.gz	ASM2150399v1	Halobacterium salinarum	GCF_021503995.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_AS8	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/504/015/GCF_021504015.1_ASM2150401v1/GCF_021504015.1_ASM2150401v1_genomic.fna.gz	ASM2150401v1	Halobacterium salinarum	GCF_021504015.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_AS19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/504/035/GCF_021504035.1_ASM2150403v1/GCF_021504035.1_ASM2150403v1_genomic.fna.gz	ASM2150403v1	Halobacterium salinarum	GCF_021504035.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_AS11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/504/045/GCF_021504045.1_ASM2150404v1/GCF_021504045.1_ASM2150404v1_genomic.fna.gz	ASM2150404v1	Halobacterium salinarum	GCF_021504045.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4243	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/125/GCF_030250125.1_ASM3025012v1/GCF_030250125.1_ASM3025012v1_genomic.fna.gz	ASM3025012v1	Halobacterium salinarum	GCF_030250125.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4241	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/165/GCF_030250165.1_ASM3025016v1/GCF_030250165.1_ASM3025016v1_genomic.fna.gz	ASM3025016v1	Halobacterium salinarum	GCF_030250165.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4240	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/185/GCF_030250185.1_ASM3025018v1/GCF_030250185.1_ASM3025018v1_genomic.fna.gz	ASM3025018v1	Halobacterium salinarum	GCF_030250185.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4242	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/195/GCF_030250195.1_ASM3025019v1/GCF_030250195.1_ASM3025019v1_genomic.fna.gz	ASM3025019v1	Halobacterium salinarum	GCF_030250195.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4239	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/225/GCF_030250225.1_ASM3025022v1/GCF_030250225.1_ASM3025022v1_genomic.fna.gz	ASM3025022v1	Halobacterium salinarum	GCF_030250225.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4236	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/245/GCF_030250245.1_ASM3025024v1/GCF_030250245.1_ASM3025024v1_genomic.fna.gz	ASM3025024v1	Halobacterium salinarum	GCF_030250245.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4238	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/265/GCF_030250265.1_ASM3025026v1/GCF_030250265.1_ASM3025026v1_genomic.fna.gz	ASM3025026v1	Halobacterium salinarum	GCF_030250265.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_CECT-395	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/285/GCF_030250285.1_ASM3025028v1/GCF_030250285.1_ASM3025028v1_genomic.fna.gz	ASM3025028v1	Halobacterium salinarum	GCF_030250285.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4235	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/295/GCF_030250295.1_ASM3025029v1/GCF_030250295.1_ASM3025029v1_genomic.fna.gz	ASM3025029v1	Halobacterium salinarum	GCF_030250295.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_UC4237	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/250/325/GCF_030250325.1_ASM3025032v1/GCF_030250325.1_ASM3025032v1_genomic.fna.gz	ASM3025032v1	Halobacterium salinarum	GCF_030250325.1	2242	36985161	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_KBTZ01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/345/255/GCA_030345255.1_ASM3034525v1/GCA_030345255.1_ASM3034525v1_genomic.fna.gz	ASM3034525v1	Halobacterium salinarum	GCA_030345255.1	2242	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	NA	NA	NA
Halobacterium_salinarum_DSM_3754	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/124/605/GCA_008124605.1_ASM812460v1/GCA_008124605.1_ASM812460v1_genomic.fna.gz	ASM812460v1	Halobacterium salinarum DSM 3754	GCA_008124605.1	2597657	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum	NA	NA
Halobacterium_salinarum_NRC-1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/805/GCF_000006805.1_ASM680v1/GCF_000006805.1_ASM680v1_genomic.fna.gz	ASM680v1	Halobacterium salinarum NRC-1	GCF_000006805.1	64091	11016950984707776e61	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum	NA	NA
