id	file	GenomeID	Binomial	AccNum	TaxID	PMID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subrank1	Subrank2
Palaeococcus_pacificus_DY20341	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/425/GCF_000725425.1_ASM72542v1/GCF_000725425.1_ASM72542v1_genomic.fna.gz	ASM72542v1	Palaeococcus pacificus DY20341	GCF_000725425.1	1343739	26383653	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus pacificus	NA	NA
Pyrococcus_abyssi_GE5	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/935/GCF_000195935.2_ASM19593v2/GCF_000195935.2_ASM19593v2_genomic.fna.gz	ASM19593v2	Pyrococcus abyssi GE5	GCF_000195935.2	272844	12622808113810258e14	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus abyssi	NA	NA
Pyrococcus_furiosus_DSM_3638	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/245/085/GCF_008245085.1_ASM824508v1/GCF_008245085.1_ASM824508v1_genomic.fna.gz	ASM824508v1	Pyrococcus furiosus DSM 3638	GCF_008245085.1	186497	NA	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus	NA	NA
Pyrococcus_horikoshii_OT3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/105/GCF_000011105.1_ASM1110v1/GCF_000011105.1_ASM1110v1_genomic.fna.gz	ASM1110v1	Pyrococcus horikoshii OT3	GCF_000011105.1	70601	9679194	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii	NA	NA
Pyrococcus_kukulkanii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/775/GCF_001577775.1_ASM157777v1/GCF_001577775.1_ASM157777v1_genomic.fna.gz	ASM157777v1	Pyrococcus kukulkanii	GCF_001577775.1	1609559	27189596	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	NA	NA	NA
Pyrococcus_yayanosii_CH1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/995/GCF_000215995.1_ASM21599v1/GCF_000215995.1_ASM21599v1_genomic.fna.gz	ASM21599v1	Pyrococcus yayanosii CH1	GCF_000215995.1	529709	21705594	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus yayanosii	NA	NA
Thermococcus_aciditolerans	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/152/015/GCF_008152015.1_ASM815201v1/GCF_008152015.1_ASM815201v1_genomic.fna.gz	ASM815201v1	Thermococcus aciditolerans	GCF_008152015.1	2598455	NA	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	NA	NA
Thermococcus_barophilus_MP	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/105/GCF_000151105.2_ASM15110v2/GCF_000151105.2_ASM15110v2_genomic.fna.gz	ASM15110v2	Thermococcus barophilus MP	GCF_000151105.2	391623	21217005	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus	NA	NA
Thermococcus_barossii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/465/GCF_002214465.1_ASM221446v1/GCF_002214465.1_ASM221446v1_genomic.fna.gz	ASM221446v1	Thermococcus barossii	GCF_002214465.1	54077	NA	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	NA	NA
Thermococcus_camini	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/067/545/GCF_904067545.1_T_caminus_IRI35c/GCF_904067545.1_T_caminus_IRI35c_genomic.fna.gz	T_caminus_IRI35c	Thermococcus camini	GCF_904067545.1	2016373	NA	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	NA	NA	NA
